,student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
0,1,24,Female,3,5,3,No,60,9,Average,5,Master,Medium,4,No,70
1,2,21,Male,0,0,0,Yes,85,5,Good,4,High School,Low,2,No,90
2,3,22,Male,3,3,0,Yes,62,5,Poor,1,Master,High,7,Yes,44
3,4,24,Female,0,4,4,Yes,92,6,Good,0,High School,High,8,No,58
4,5,20,Female,5,0,3,Yes,52,5,Poor,6,Bachelor,Low,2,No,73
5,6,22,Female,4,1,3,No,82,6,Good,3,Master,Medium,5,Yes,49
6,7,22,Female,7,1,3,No,55,4,Average,3,Master,Medium,1,No,64
7,8,24,Female,3,0,2,No,99,6,Poor,2,PhD,Medium,7,Yes,41
8,9,19,Female,7,1,4,Yes,59,6,Poor,3,Master,Medium,8,No,50
9,10,20,Female,7,5,3,No,54,7,Good,4,Master,High,6,No,89
10,11,24,Female,7,5,2,Yes,72,6,Good,6,Bachelor,High,5,No,70
11,12,20,Male,6,0,1,No,59,6,Poor,5,Master,High,6,Yes,95
12,13,20,Female,2,4,1,Yes,93,9,Good,4,Bachelor,High,2,No,54
13,14,22,Female,0,4,2,Yes,51,4,Good,2,Bachelor,High,1,No,48
14,15,21,Male,7,0,2,Yes,62,7,Good,4,Bachelor,Medium,7,No,62
15,16,20,Female,0,4,4,No,89,9,Average,5,Bachelor,Medium,7,Yes,58
16,17,23,Male,7,4,4,No,51,8,Average,1,High School,Medium,2,Yes,48
17,18,22,Male,3,5,1,No,69,4,Good,2,PhD,Medium,2,No,74
18,19,19,Female,2,4,3,No,50,4,Good,1,High School,High,1,Yes,60
19,20,21,Male,2,2,1,Yes,86,8,Average,0,Master,High,8,No,48
20,21,23,Male,5,3,3,No,58,6,Average,1,High School,High,8,No,67
21,22,23,Male,6,1,3,No,66,9,Poor,0,High School,Low,1,No,85
22,23,19,Male,5,2,4,Yes,58,5,Poor,0,Master,Medium,8,No,90
23,24,21,Female,5,4,0,Yes,60,7,Average,1,Master,Medium,9,No,46
24,25,22,Male,5,5,0,Yes,64,5,Good,2,Master,High,4,No,55
25,26,18,Female,5,0,2,No,73,8,Good,5,High School,Medium,1,No,55
26,27,21,Male,5,4,4,Yes,87,4,Good,4,High School,Medium,1,Yes,99
27,28,19,Male,4,5,3,Yes,84,4,Good,4,Master,High,3,Yes,72
28,29,23,Male,2,3,0,Yes,79,7,Poor,5,PhD,Low,5,Yes,43
29,30,22,Male,5,4,3,No,80,4,Average,6,PhD,Low,5,Yes,43
30,31,21,Female,7,0,0,Yes,98,4,Good,6,Bachelor,Low,9,Yes,78
31,32,18,Female,2,5,0,No,54,7,Poor,0,Master,High,2,Yes,79
32,33,18,Male,2,5,0,No,93,9,Good,0,Bachelor,Medium,2,Yes,56
33,34,20,Male,1,5,4,Yes,99,9,Average,2,PhD,High,6,No,76
34,35,20,Female,4,3,1,Yes,63,7,Poor,3,Bachelor,High,9,No,78
35,36,24,Male,5,4,3,No,60,8,Average,1,Master,Medium,1,No,99
36,37,19,Male,0,3,4,Yes,58,4,Average,0,Master,Low,9,No,91
37,38,21,Male,3,1,4,Yes,83,4,Poor,4,Master,Low,9,Yes,68
38,39,21,Female,6,1,4,No,61,8,Poor,2,High School,High,9,Yes,91
39,40,24,Female,7,4,4,No,84,9,Poor,1,Bachelor,Low,5,No,75
40,41,23,Female,0,3,4,Yes,84,6,Poor,2,PhD,High,9,No,99
41,42,23,Male,4,0,2,No,50,6,Poor,1,PhD,High,4,Yes,77
42,43,24,Male,3,5,3,Yes,89,6,Poor,1,PhD,Medium,2,No,78
43,44,23,Female,4,5,4,Yes,71,9,Poor,5,High School,Medium,6,No,89
44,45,20,Female,7,4,3,Yes,78,9,Good,0,High School,Medium,4,No,76
45,46,21,Female,2,1,2,No,57,8,Average,2,Master,High,6,No,91
46,47,24,Female,3,1,2,Yes,60,4,Poor,2,PhD,Medium,3,Yes,74
